anomaly_pattern,anomaly_point,change_point,timestamp,value
0.0,0.0,0.0,2017-12-08 22:03:37,982.5574602223179
0.0,0.0,0.0,2017-12-08 18:30:12,983.8378907902415
0.0,0.0,0.0,2017-12-08 01:58:00,989.7911566568071
0.0,0.0,0.0,2017-12-08 18:01:20,984.0111164428553
0.0,0.0,0.0,2017-12-09 19:42:19,974.7652150955462
0.0,0.0,0.0,2017-12-07 05:42:02,997.0868905825773
0.0,0.0,0.0,2017-12-07 21:58:42,991.2268968703661
0.0,0.0,0.0,2017-12-06 01:49:37,1007.1213777223038
0.0,0.0,0.0,2017-12-10 05:46:21,971.1410077056859
0.0,0.0,0.0,2017-12-07 15:55:59,993.4031910366349
0.0,0.0,0.0,2017-12-08 06:54:18,988.0133339112393
0.0,0.0,0.0,2017-12-08 18:46:09,983.7422728420275
0.0,0.0,0.0,2017-12-09 18:01:45,975.3685844902923
0.0,0.0,0.0,2017-12-08 17:53:17,984.0593852298505
0.0,0.0,0.0,2017-12-08 11:02:29,986.5241822969996
0.0,0.0,0.0,2017-12-08 05:02:02,988.6869239580692
0.0,0.0,0.0,2017-12-08 10:55:30,986.5660968135247
0.0,0.0,0.0,2017-12-07 21:17:21,991.4750557664445
0.0,0.0,0.0,2017-12-08 05:16:20,988.6011084967714
0.0,0.0,0.0,2017-12-07 18:59:21,992.3029983819835
0.0,0.0,0.0,2017-12-07 03:43:33,997.7978091379143
0.0,0.0,0.0,2017-12-09 06:15:45,979.6045834944547
0.0,0.0,0.0,2017-12-05 07:09:55,1013.8396072137283
0.0,0.0,0.0,2017-12-08 18:10:07,983.9584147215231
0.0,0.0,0.0,2017-12-06 18:19:51,1001.180016569422
0.0,0.0,0.0,2017-12-08 02:37:32,989.5538921272471
0.0,0.0,0.0,2017-12-07 12:21:30,994.690116068665
0.0,0.0,0.0,2017-12-08 02:40:50,989.534124105906
0.0,0.0,0.0,2017-12-07 10:36:44,995.3187523698389
0.0,0.0,0.0,2017-12-08 07:48:16,987.6895268358553
0.0,0.0,0.0,2017-12-09 08:44:08,978.7143189167509
0.0,0.0,0.0,2017-12-09 19:05:20,974.9871336525633
0.0,0.0,0.0,2017-12-08 17:17:19,984.27525300175
0.0,0.0,0.0,2017-12-07 23:49:33,990.5618063530071
0.0,0.0,0.0,2017-12-08 13:55:13,985.4878134165996
0.0,0.0,0.0,2017-12-06 11:11:16,1003.7514807169418
